file,speaker,turn_id,turn_start,turn_end,turn_duration_s,n_ips,n_vowels,speech_time_s,pause_time_s,n_pauses,mean_pause_s,speech_rate_vps,speaking_proportion,conf_median_ips
VAL_H1B_2020_00114,SPEAKER_01,14,718.1048,724.3098,6.205,1,31,6.205,0.0,0,0.0,4.996,1.0,
VAL_H1B_2020_00114,SPEAKER_00,15,725.1598,725.4098,0.25,1,2,0.25,0.0,0,0.0,8.0,1.0,
VAL_H1B_2020_00114,SPEAKER_01,16,725.5918,726.7418,1.15,1,6,1.15,0.0,0,0.0,5.217,1.0,
VAL_H1B_2020_00114,SPEAKER_00,17,731.8758,796.2118,64.336,23,221,39.264,25.072,22,1.1396,3.435,0.61,0.8139
VAL_H1B_2020_00114,SPEAKER_01,18,797.2858,808.6338,11.348,4,54,9.668,1.68,3,0.56,4.759,0.852,
VAL_H1B_2020_00114,SPEAKER_00,19,810.4848,819.1068,8.622,5,46,6.08,2.542,4,0.6355,5.335,0.705,0.6186
VAL_H1B_2020_00114,SPEAKER_01,20,821.3478,825.9778,4.63,1,28,4.63,0.0,0,0.0,6.048,1.0,
VAL_H1B_2020_00114,SPEAKER_00,21,826.1898,877.3088,51.119,25,219,35.693,15.426,24,0.6427,4.284,0.698,0.7354
VAL_H1B_2020_00114,SPEAKER_01,22,878.5508,886.0328,7.482,4,31,6.052,1.43,3,0.4767,4.143,0.809,
VAL_H1B_2020_00114,SPEAKER_00,23,886.4128,921.9908,35.578,16,111,24.433,11.145,15,0.743,3.12,0.687,0.7192
VAL_H1B_2020_00114,SPEAKER_01,24,924.5908,929.5518,4.961,2,19,4.561,0.4,1,0.4,3.83,0.919,
VAL_H1B_2020_00114,SPEAKER_00,25,931.2228,986.8228,55.6,23,165,33.357,22.243,22,1.011,2.968,0.6,0.8260
VAL_H1B_2020_00114,SPEAKER_01,26,986.9028,989.6828,2.78,2,9,2.52,0.26,1,0.26,3.237,0.906,
VAL_H1B_2020_00114,SPEAKER_00,27,989.9048,1026.5908,36.686,13,146,25.713,10.973,12,0.9144,3.98,0.701,0.7467
VAL_H1B_2020_00128,SPEAKER_00,1,477.9775,481.7285,3.751,2,19,2.77,0.981,1,0.981,5.065,0.738,
VAL_H1B_2020_00128,SPEAKER_01,2,482.0585,483.6985,1.64,1,13,1.64,0.0,0,0.0,7.927,1.0,0.8389
VAL_H1B_2020_00128,SPEAKER_00,3,484.2985,485.7995,1.501,1,11,1.501,0.0,0,0.0,7.328,1.0,
VAL_H1B_2020_00128,SPEAKER_01,4,486.2995,493.3105,7.011,2,43,6.661,0.35,1,0.35,6.133,0.95,0.8627
VAL_H1B_2020_00128,SPEAKER_00,5,494.7815,498.1825,3.401,2,17,2.791,0.61,1,0.61,4.999,0.821,
VAL_H1B_2020_00128,SPEAKER_01,6,498.7295,543.4365,44.707,13,200,38.922,5.785,12,0.4821,4.474,0.871,0.8223
VAL_H1B_2020_00128,SPEAKER_00,7,545.5285,547.9485,2.42,1,13,2.42,0.0,0,0.0,5.372,1.0,
VAL_H1B_2020_00128,SPEAKER_01,8,549.1505,551.1015,1.951,1,16,1.951,0.0,0,0.0,8.201,1.0,0.5838
VAL_H1B_2020_00128,SPEAKER_00,9,551.9425,553.5425,1.6,1,12,1.6,0.0,0,0.0,7.5,1.0,
VAL_H1B_2020_00128,SPEAKER_01,10,554.3145,589.4935,35.179,9,199,28.161,7.018,8,0.8772,5.657,0.801,0.7604
VAL_H1B_2020_00128,SPEAKER_00,11,591.7265,597.7185,5.992,2,33,5.491,0.501,1,0.501,5.507,0.916,
VAL_H1B_2020_00128,SPEAKER_01,12,598.4305,631.6635,33.233,9,129,27.855,5.378,8,0.6723,3.882,0.838,0.8506
VAL_H1B_2020_00128,SPEAKER_00,13,634.6385,637.0085,2.37,1,13,2.37,0.0,0,0.0,5.485,1.0,
VAL_H1B_2020_00128,SPEAKER_01,14,637.7425,668.0765,30.334,8,132,26.64,3.694,7,0.5277,4.352,0.878,0.8770
VAL_H1B_2020_00128,SPEAKER_00,15,669.9265,674.4065,4.48,2,29,4.17,0.31,1,0.31,6.473,0.931,
VAL_H1B_2020_00128,SPEAKER_01,16,675.1025,721.4445,46.342,15,186,37.257,9.085,14,0.6489,4.014,0.804,0.8521
VAL_H1B_2020_00128,SPEAKER_00,17,721.4975,726.8945,5.397,2,31,5.091,0.306,1,0.306,5.744,0.943,
VAL_H1B_2020_00128,SPEAKER_01,18,727.7855,843.5525,115.767,31,483,89.224,26.543,30,0.8848,4.172,0.771,0.8010
VAL_H1B_2020_00128,SPEAKER_00,19,844.9145,845.7845,0.87,1,6,0.87,0.0,0,0.0,6.897,1.0,
VAL_H1B_2020_00128,SPEAKER_01,20,846.1955,955.8715,109.676,32,462,85.709,23.967,31,0.7731,4.212,0.781,0.8286
VAL_H1B_2021_004,SPEAKER_01,1,461.1426,464.1936,3.051,1,16,3.051,0.0,0,0.0,5.244,1.0,
VAL_H1B_2021_004,SPEAKER_00,2,465.4536,473.6767,8.2231,3,33,5.0531,3.17,2,1.585,4.013,0.615,0.8148
VAL_H1B_2021_004,SPEAKER_01,3,475.2566,477.5976,2.341,1,21,2.341,0.0,0,0.0,8.971,1.0,
VAL_H1B_2021_004,SPEAKER_00,4,479.3186,544.6796,65.361,20,244,44.99,20.371,19,1.0722,3.733,0.688,0.7883
VAL_H1B_2021_004,SPEAKER_01,5,547.2306,551.4616,4.231,2,14,2.66,1.571,1,1.571,3.309,0.629,
VAL_H1B_2021_004,SPEAKER_00,6,552.5316,596.1516,43.62,16,199,29.385,14.235,15,0.949,4.562,0.674,0.8056
VAL_H1B_2021_004,SPEAKER_01,7,601.6106,606.0806,4.47,3,25,3.15,1.32,2,0.66,5.593,0.705,
VAL_H1B_2021_004,SPEAKER_00,8,608.4826,644.5806,36.098,11,170,28.933,7.165,10,0.7165,4.709,0.802,0.7530
VAL_H1B_2021_004,SPEAKER_01,9,647.0806,650.3946,3.314,2,10,2.224,1.09,1,1.09,3.018,0.671,
VAL_H1B_2021_004,SPEAKER_00,10,651.5766,691.1866,39.61,11,201,27.583,12.027,10,1.2027,5.074,0.696,0.7117
VAL_H1B_2021_004,SPEAKER_01,11,693.9876,695.3676,1.38,1,9,1.38,0.0,0,0.0,6.522,1.0,
VAL_H1B_2021_004,SPEAKER_00,12,696.3886,703.1306,6.742,2,45,6.402,0.34,1,0.34,6.675,0.95,0.7350
VAL_H1B_2021_004,SPEAKER_01,13,704.5206,707.0806,2.56,1,11,2.56,0.0,0,0.0,4.297,1.0,
VAL_H1B_2021_004,SPEAKER_00,14,708.9036,722.7426,13.839,5,55,10.1,3.739,4,0.9347,3.974,0.73,0.7912
VAL_H1B_2021_004,SPEAKER_01,15,724.0576,724.4676,0.41,1,4,0.41,0.0,0,0.0,9.756,1.0,
VAL_H1B_2021_004,SPEAKER_00,16,728.1406,747.3976,19.257,8,67,13.16,6.097,7,0.871,3.479,0.683,0.8520
VAL_H1B_2021_004,SPEAKER_01,17,750.6136,753.5786,2.965,2,9,2.235,0.73,1,0.73,3.035,0.754,
VAL_H1B_2021_004,SPEAKER_00,18,754.5586,755.7996,1.241,1,7,1.241,0.0,0,0.0,5.641,1.0,0.8622
