file,speaker,n_ips,n_turns,n_vowels_total,art_rate_median,art_rate_mean,art_rate_sd,sylls_per_ip_median,syl_slope,speech_time_s,pause_time_s,total_duration_s,n_pauses,pause_median_ms,pause_mean_ms,pause_sd_ms,log_pause_median_ms,pauses_per_100_vowels,overall_art_rate,overall_spk_rate,pitch_range_median,pitch_range_mean,pitch_range_sd,pitch_level_median
VAL_M2M_2022_0091,UNKNOWN,1,1,5,12.5,12.5,0.0,5.0,,0.4,0.0,0.4,0,,,,,0.0,12.5,12.5,,,,
VAL_M2M_2023_00298,SPEAKER_00,199,8,1764,6.494,6.561,2.27,7.0,-0.0075,279.613,211.426,491.039,191,920.0,1106.942,793.25,6.824,10.83,6.309,3.592,4.063,5.467,4.165,92.156
VAL_M2M_2023_00298,SPEAKER_01,13,7,151,6.566,7.25,3.08,10.0,-0.2363,25.019,5.842,30.861,6,915.0,973.667,475.913,6.819,3.97,6.035,4.893,3.391,3.265,1.038,93.26
VAL_M2M_2023_00363,SPEAKER_00,23,11,294,5.954,5.928,2.311,12.0,0.0573,47.985,14.246,62.231,12,700.0,1187.167,1524.33,6.551,4.08,6.127,4.724,4.241,4.233,2.008,92.113
VAL_M2M_2023_00363,SPEAKER_01,176,12,2055,6.858,6.966,2.499,10.0,-0.0015,316.057,144.288,460.345,164,610.5,879.805,1821.261,6.414,7.98,6.502,4.464,4.896,5.276,2.255,88.305
VAL_M2M_2025_00692,SPEAKER_00,161,8,1978,5.758,5.69,1.836,11.0,-0.0116,347.445,128.574,476.019,153,680.0,840.353,547.858,6.522,7.74,5.693,4.155,5.101,5.319,1.683,91.18
VAL_M2M_2025_00692,SPEAKER_01,17,8,239,5.26,5.633,1.796,9.0,-0.7623,42.59,6.903,49.493,9,380.0,767.0,692.846,5.94,3.77,5.612,4.829,4.324,5.044,1.852,92.102
VAL_M3A_2020_00115,SPEAKER_00,60,29,707,5.858,5.738,1.498,9.0,-0.0197,123.271,28.023,151.294,31,640.0,903.968,739.787,6.461,4.38,5.735,4.673,3.188,3.7,2.598,93.238
VAL_M3A_2020_00115,SPEAKER_01,105,28,1138,6.548,6.451,2.318,8.0,-0.0051,176.088,70.181,246.269,77,750.0,911.442,585.908,6.62,6.77,6.463,4.621,3.493,3.689,1.495,82.863
VAL_M3A_2020_00125,SPEAKER_00,95,10,1488,5.503,5.358,1.401,12.0,-0.0512,280.729,64.001,344.73,85,606.0,752.953,555.568,6.407,5.71,5.3,4.316,3.414,3.625,1.441,92.912
VAL_M3A_2020_00125,SPEAKER_01,35,9,356,6.244,6.034,2.159,9.0,-0.0661,60.424,22.645,83.069,26,690.0,870.962,579.384,6.537,7.3,5.892,4.286,3.029,4.48,3.785,92.082
VAL_M3A_2021_0041,SPEAKER_00,23,15,220,8.036,8.197,3.459,9.0,0.1383,29.599,3.939,33.538,8,490.0,492.375,156.883,6.194,3.64,7.433,6.56,4.267,4.068,1.639,95.299
VAL_M3A_2021_0041,SPEAKER_01,196,16,2236,6.99,6.94,2.702,9.0,-0.0095,338.196,142.007,480.203,180,600.0,788.928,586.582,6.397,8.05,6.612,4.656,2.994,3.371,2.186,90.496
VAL_M3A_2021_0041,UNKNOWN,1,1,4,14.815,14.815,0.0,4.0,,0.27,0.0,0.27,0,,,,,0.0,14.815,14.815,,,,
VAL_M3A_2021_0043,SPEAKER_00,156,7,1978,5.446,5.497,1.571,10.5,0.0076,373.725,126.301,500.026,149,680.0,847.658,613.451,6.522,7.53,5.293,3.956,13.618,10.823,5.809,84.651
VAL_M3A_2021_0043,SPEAKER_01,10,6,182,5.588,5.959,1.539,12.5,0.1091,31.82,2.79,34.61,4,720.0,697.5,147.203,6.579,2.2,5.72,5.259,3.747,3.631,0.474,91.471
VAL_M3A_2021_0053,SPEAKER_00,95,10,1572,6.417,6.436,2.166,15.0,0.0113,250.868,149.619,400.487,85,620.0,1760.224,6798.874,6.43,5.41,6.266,3.925,4.982,5.566,2.436,90.141
VAL_M3A_2021_0053,SPEAKER_01,12,9,98,8.042,7.441,2.478,9.0,-0.4406,13.103,2.813,15.916,3,451.0,937.667,841.869,6.111,3.06,7.479,6.157,5.0,6.299,3.106,84.989
